f1,f2,f3,f4,f5,label
0.5095276750261302,0.2784645036275145,0.6270127625950446,0.944692962320296,0.6418458238225493,1
0.675029586483849,0.4254571190133714,0.181751967406003,0.5759524545672849,0.0461166470980357,0
0.0406645408377887,0.1732273371276813,0.70604876143826,0.9433923520365974,0.4890373375262602,0
0.3245445604987182,0.7452950350153222,0.8405622387868477,0.961117591931146,0.0884576917432962,1
0.0333977596491876,0.3603626187283815,0.8918831697121758,0.0905998927266812,0.9434345231476492,1
0.3594049208017967,0.1282219494247516,0.9131445762202468,0.6375737059308597,0.7076530954290196,0
0.3701136091887033,0.9911884194224344,0.4297935752478584,0.9827418648096032,0.7496849452851235,0
0.2131710978176091,0.1826869898981481,0.669585111885477,0.9774220568883454,0.8619535602441194,0
0.2756898078152491,0.826276093136717,0.7191624881653376,0.0062197707533288,0.4977342815732389,1
0.9500034832480554,0.7132545344566543,0.0385582208431202,0.3945521001065981,0.5077037479160903,0
0.8094838771234691,0.3968495737456119,0.2637137281172295,0.6511339250011663,0.9140812154185548,1
0.9828549461285602,0.4586814828234021,0.8032407097169842,0.4061145189868151,0.0568567067050701,1
0.7974111408134529,0.6095252225371809,0.6559275704180926,0.8260847385246782,0.6386167732658972,1
0.2085766265165612,0.2342637759544209,0.687828624215668,0.5440651266309646,0.4028893206276613,0
0.8827276921463575,0.8540889379652943,0.2442647769654279,0.0954737525177553,0.7643146706608448,0
0.4504731417468012,0.7245672412275201,0.4974662010850338,0.6199188879250163,0.1095606602666287,0
0.530730911453522,0.8768224712932648,0.1055471758648041,0.0104007332924284,0.876626590800516,0
0.4367986687755082,0.571677398043346,0.7380601926136986,0.6488622929116452,0.3979243026507523,1
0.6159882031067657,0.2881058112034249,0.067786255908113,0.5602828333491573,0.3723421126476524,0
0.1465538741528707,0.9231787248946732,0.6976578852571448,0.0093994403383654,0.2821765279458232,1
0.9117794606402077,0.4870469266951207,0.3065444016815407,0.2081409539460605,0.0432062647999872,0
0.6292641888572367,0.3743959097708667,0.7081379497866459,0.7093470542290911,0.6990314649557021,1
0.0526964351894106,0.3453460154893225,0.3301692126368309,0.2768137350578249,0.6578205978264815,0
0.0218006264340357,0.3154501325980717,0.0580161913069414,0.145731777729418,0.1855096973772613,0
0.0352962696531643,0.7863860064291834,0.3848407418164187,0.6659157714733207,0.4289547633669477,0
0.6691343370722431,0.9795185834278674,0.8437799570435317,0.5815885159693825,0.956657441504385,1
0.9578790888664076,0.4330059302252719,0.276822895625686,0.685726142606564,0.4498689494877539,1
0.5026242057724659,0.4531590077620219,0.2390168891158467,0.7594540765989032,0.6734559014491042,0
0.0834898612660393,0.3008777296634468,0.1120760311632445,0.0040433875633385,0.0469898786158584,0
0.1352013275084421,0.1463340180247201,0.569699095584127,0.2547913633696982,0.4050871851136818,0
0.9037346774787308,0.5493928392303112,0.1893159161993499,0.1432947381570488,0.8136856171772989,0
0.8796526184209507,0.0883586777285954,0.8297618352948941,0.1280595796371393,0.8197593203658383,1
0.3120792470379654,0.9469594220342942,0.3606007575338424,0.1469362658870684,0.5175091696403386,0
0.707540112164091,0.7836205003913832,0.8934883206793284,0.4479494120303838,0.9769844966824968,1
0.8634461366324511,0.0432354215790328,0.0796701211815094,0.8990772075087862,0.0401740513079389,0
0.0777804660231495,0.6188542527239284,0.4768169738867278,0.751848748922113,0.3222839788743687,0
0.4774665212984718,0.42183176099606,0.8928281647963265,0.8997229961423207,0.8273286266655453,1
0.0122768044736291,0.2829945915190228,0.5833326805499097,0.8537476228661574,0.9580628241848916,0
0.753700558899071,0.463685911684279,0.2674316161175338,0.2902766755377457,0.2422363034504596,0
0.3553876522741138,0.3873828291671386,0.2728278560741759,0.0152726894463529,0.3825441212479383,0
0.8907016018142092,0.7566539116091526,0.7860972706586965,0.9473634813711792,0.6331283435179325,1
0.2515899033237803,0.4794149545731978,0.3313114738090817,0.3878076809040786,0.6381918226987272,0
0.2639897693080621,0.269739798195142,0.0088477457882404,0.7658234564227833,0.8013102975274802,0
0.4028783739501422,0.6985137025908198,0.109583822140341,0.142622170954127,0.7361993792351172,0
0.50526258537105,0.7388141602128037,0.6267785664382902,0.0189157106676967,0.5142692566285725,0
0.3280469794881215,0.2293035095283597,0.3451083932594995,0.7506919907097952,0.2259156587562608,0
0.1489214623006763,0.1471555999331523,0.7663498952695023,0.9546486914760292,0.3400792532795612,0
0.0631846928076115,0.1965491076973831,0.9390326687956604,0.5957685620835581,0.1896399555065312,0
0.3398259316296643,0.109527713524464,0.0627334616911686,0.7902174706316022,0.1577731209315703,0
0.9042167114771807,0.1556900163870515,0.349286675971229,0.4537617716561924,0.3659554785304707,0
0.765353686715119,0.2174706059889579,0.4326353279514706,0.7896794656475714,0.727721306087273,1
0.5231791300282204,0.6787638405957815,0.7435073968008103,0.6478079923127542,0.366758346804904,1
0.3053117300617801,0.5803391360656575,0.5936174275825837,0.7725915807797621,0.372036215781288,1
0.4305179127835709,0.3987494014938265,0.3944055650065875,0.14024086002013,0.9684802900143136,0
0.3883353570376955,0.876897984112144,0.2447209389841099,0.277341279157027,0.7954439786807728,0
0.8112715903308281,0.3156809901642508,0.5375968380517782,0.8553917487415875,0.9034155571815348,1
0.0549861766584344,0.083128504552346,0.6229980979912625,0.3453235451574384,0.552508691094216,0
0.0437588049856784,0.1096345453189493,0.8503141711680265,0.3394208703476741,0.6250071112977635,0
0.3901112850155854,0.7135546897160325,0.2082459772788091,0.6630878862347304,0.0555538621915308,0
0.5599996896260379,0.7615344618765953,0.3866903113859169,0.4820285674410147,0.6120064408261862,0
0.480785403129036,0.0077482637622093,0.6825437953762314,0.608984174485955,0.5330504797293064,0
0.4978127427830197,0.2183873386247645,0.4017430174788309,0.0980169690691082,0.7483093994839257,0
0.4234730757223401,0.1377210212747668,0.2934885399456773,0.18636922121606,0.0148099287034116,0
0.3108037951824631,0.0189444091179808,0.1206705959679215,0.1411014222456376,0.8476325875132414,0
